portfolio,website,year,summary
AutoChilango,http://autochilango.com/,,Legal and bureaucracy assistance for your car. 
Cotiza y Contrata,http://cotizaycontrata.com/,,Connecting people who need a service with professionals. 
Facturama,http://facturama.mx/,,Simplifies a company?s billing proces in Mexico. 
GazeMetrix,http://gazemetrix.com/,,Gazemetrix offers brands insight into when and where their brand was photographed across social media in real time. 
Winc,http://clubw.com/,,"Club W is a California based direct-to-consumer winery that is revolutionizing the way people discover, buy and share wine. "
RolePoint,http://rolepoint.com/,,Re-imagining talent acquisition for the enterprise. RolePoint are building software that is changing the way talent is sourced. 
Thinknum,http://thinknum.com/,,Thinknum is a powerful web platform to value companies. We?re utilizing the web?s resources in data and technology to provide superior tools for financial analysts ? they include p 
Monkimun,http://monkimun.com/,,Monkimun is a new game studio dedicated to designing fun language educational apps for children. 
KartRocket,http://kartrocket.com/,,"KartRocket help SMEs, manufacturers, creative people and service providers set up their brands online. "
Dealflicks,http://dealflicks.com/,,"Dealflicks provides movie tickets and concessions for discounted prices, helping theaters fill their empty seats. "
Keen.io,http://keen.io/,,Keen IO is a custom analytics back-end for developers. Build and embed analytics for your teams and your customers. 
Mocavo,http://mocavo.com/,,Mocavo is a genealogy and ancestry search engine enabling users to discover their family history. 
Ingresse,http://ingresse.com/,,"Ingresse, a Brazilian social ticketing company that enables people to discover the latest concerts, nightclubs, parties, and theater plays. "
Internmatch,http://internmatch.com/,,LookSharp helps every student launch their career 
Soldsie,http://soldsie.com/,,"Soldsie is a social commerce platform that allows customers to purchase products through comments on Facebook, Instagram, and Pinterest. "
Geckoboard,http://geckoboard.com/,,Geckoboard is a real time data dashboard that helps you and your team stay focused on the metrics that matter. 
Ordoro,http://ordoro.com/,,Supply chain backbone for ecommerce 
Greentoe,http://greentoe.com/,,Greentoe is a name your price marketplace bringing market pricing to retail. 
Chain,http://chain.com/,,"Chain Inc. partners with leading financial institutions to build and deploy blockchain networks that enable seamless, programmatic and peer-to-peer transfer of digital assets. The "
LocoMotive Labs,http://locomotivelabs.com/,,"LocoMotive Labs develops assistive and play-based apps for children with special needs, encouraging them to be independent learners. "
Traity,http://traity.com/,,"Traity aims to create a world where we can trust one another, building a reputation standard. "
Tynker,http://tynker.com/,,Tynker is a browser-based computational learning platform teaching programming skills for children. 
iDreamBooks,http://idreambooks.com/,,Book discovery tool with a rating and recommendation system 
Lish,http://lishfood.com/,,Handcrafted meals from award-winning local chefs. 
9GAG,http://9gag.com/,,9GAG.TV is a website that features user-generated videos under various categories. 
Boletia,http://boletia.com/,,Boletia helps event organizers to unleash the potential of online sales without needing technical or online marketing expertise. It does this with an easy-to-use platform and a str 
Cloud Academy,http://cloudacademy.com/,,Cloud Academy is a platform to learn cloud computing and test your skills. 
Pic Collage,http://cardinalblue.com/,,"Cardinal Blue Software offers an app that allows users to create and share free-form collages made by images, text and stickers. "
NoRedInk,http://noredink.com/,,NoRedInk is a web-based learning platform supporting students to improve their grammar and writing skills. 
Carousell,http://carousell.com/,,Carousell is a Singapore-based consumer-to-consumer marketplace application for iOS and Android. 
MisterBnB,http://misterbnb.com/,,Largest gay-friendly hotelier in the world 
Moj.io,http://moj.io/,,"Mojio is the worlds leading open platform for cars. Connect your car to your favorite people, places and things. Driving 2.0. "
VTS,http://vts.com/,,"VTS gives asset managers & leasing teams a single platform to track deals, manage space & collaborate seamlessly. "
CircleCI,http://circleci.com/,,CircleCI is an automated testing and continuous integration platform for web application developers. 
GymTrack,http://gymtrack.co/,,Gymtrack builds smart aftermarket equipment that allows gym members to automatically track their workouts and access virtual personal training. 
CinemaCraft,http://cinemacraft.tv/,,Cinemacraft is a leading interactive media monetization platform. 
